Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0.0,4,10,1,0,3068.0064,0,0,1,0
0.0,1,17,0,1,2174.5028,0,1,0,0
0.097904029,3,22,0,2,2085.2856,0,1,0,0
0.089291137,2,20,1,2,3791.0652,0,1,0,0
0.059511812,2,34,1,0,2797.6916,0,0,0,1
0.113123893,2,10,1,0,1609.9044,0,0,1,0
0.123111453,1,34,1,0,388.1614,0,0,0,1
0.026480954,1,34,1,0,2180.495,0,0,0,1
0.102511504,4,22,0,2,3435.528,0,1,0,0
0.02681843,2,32,2,0,2150.534,0,1,0,0
0.117818348,3,20,1,2,2527.3768,0,1,0,0
0.069102831,4,10,1,0,6768.5228,0,0,1,0
0.042277867,2,32,2,0,373.5138,0,1,0,0
0.089498926,3,21,0,0,358.2004,1,0,0,0
0.0,3,17,0,1,2428.8384,0,1,0,0
0.025879577,4,17,0,1,5815.0972,0,1,0,0
0.121632721,1,22,0,2,2576.646,0,1,0,0
0.255394896,3,34,0,2,780.3176,1,0,0,0
0.067779712,2,22,0,2,3134.5864,0,1,0,0
0.159803853,2,32,2,0,850.8924,0,1,0,0
0.028696932,2,32,2,0,810.9444,0,1,0,0
0.065041581,3,12,0,1,3121.2704,0,1,0,0
0.028760013,3,12,0,1,4815.0656,0,1,0,0
0.010053105,4,10,1,0,6258.52,0,0,1,0
0.048157338,2,17,0,1,2117.244,0,1,0,0
0.071958197,1,20,1,2,796.9626,0,1,0,0
0.173481304,3,22,0,2,4910.275,0,1,0,0
0.061082177,3,34,0,2,892.172,1,0,0,0
0.0,4,10,1,0,3185.1872,0,0,1,0
0.040071131,1,17,0,1,1062.6168,0,1,0,0
0.012090074,1,34,1,0,484.7024,0,0,0,1
0.15028599,1,34,0,2,147.8076,1,0,0,0
0.026015519,4,34,1,0,2543.356,0,0,0,1
0.195068226,3,21,0,0,184.4266,1,0,0,0
0.033082215,3,15,0,1,4865.6664,0,1,0,0
0.078946455,3,17,0,1,1118.544,0,1,0,0
0.041700756,3,17,0,1,2302.3364,0,1,0,0
0.143422643,1,22,0,2,2027.361,0,1,0,0
0.105296072,3,22,0,2,3435.528,0,1,0,0
0.121531501,1,32,2,0,599.22,0,1,0,0
0.0,3,17,0,1,4604.6728,0,1,0,0
0.011324862,3,12,0,1,2285.0256,0,1,0,0
0.186357148,4,20,1,2,5580.7356,0,1,0,0
0.024205661,2,22,0,2,2290.352,0,1,0,0
0.033230816,3,20,1,2,1207.0954,0,1,0,0
0.113720344,1,34,0,2,643.1628,1,0,0,0
0.112556507,2,12,0,1,1587.933,0,1,0,0
0.0,4,17,0,1,5305.0944,0,1,0,0
0.059352241,2,22,0,2,1697.79,0,1,0,0
0.014087057,3,22,0,2,1427.4752,0,1,0,0
0.045230944,3,10,1,0,4693.89,0,0,1,0
0.293417759,3,34,0,2,583.2408,1,0,0,0
0.031382044,3,34,1,0,3091.9752,0,0,0,1
0.12639886,3,12,0,1,2479.4392,0,1,0,0
0.025403898,3,15,0,1,2716.464,0,1,0,0
0.039057677,3,34,1,0,3285.723,0,0,0,1
0.123115764,1,22,0,2,661.8052,0,1,0,0
0.039624006,2,20,1,2,1523.3504,0,1,0,0
0.040421193,2,21,0,0,369.519,1,0,0,0
0.105274111,1,20,1,2,690.4346,0,1,0,0
0.033970195,1,17,0,1,1381.535,0,1,0,0
0.053212652,1,15,0,1,622.523,0,1,0,0
0.024378706,2,15,0,1,1274.3412,0,1,0,0
0.009714595,2,34,0,2,487.3656,1,0,0,0
0.131383762,4,20,1,2,1231.73,0,1,0,0
0.07461309,3,15,0,1,3755.112,0,1,0,0
0.028459761,2,34,1,0,4363.6532,0,0,0,1
0.074627201,3,22,0,2,1314.2892,0,1,0,0
0.063695084,3,17,0,1,1805.6496,0,1,0,0
0.045797829,3,34,1,0,2854.9504,0,0,0,1
0.115857223,3,20,1,2,3896.2616,0,1,0,0
0.024832806,1,32,2,0,667.7974,0,1,0,0
0.034027909,4,10,1,0,3185.853,0,0,1,0
0.0467696,2,32,2,0,2247.7408,0,1,0,0
0.116576702,3,32,2,0,1794.331,0,1,0,0
0.0,2,17,0,1,2530.7058,0,1,0,0
0.278974075,4,34,0,2,679.116,1,0,0,0
0.035913805,1,32,2,0,812.276,0,1,0,0
0.079806266,4,22,0,2,699.09,0,1,0,0
0.005505481,2,12,0,1,2732.4432,0,1,0,0
0.064625342,3,34,0,2,176.437,1,0,0,0
0.071636937,2,34,1,0,4097.3332,0,0,0,1
0.0,3,17,0,1,3151.8972,0,1,0,0
0.032677678,4,20,1,2,5942.265,0,1,0,0
0.160760054,3,12,0,1,4843.695,0,1,0,0
0.06911065,2,15,0,1,2542.0244,0,1,0,0
0.041177505,2,12,0,1,2552.6772,0,1,0,0
0.040081193,4,10,1,0,1141.847,0,0,1,0
0.035307322,1,12,0,1,680.4476,0,1,0,0
0.063017847,3,17,0,1,2085.9514,0,1,0,0
0.171938781,1,21,0,0,186.424,1,0,0,0
0.040197932,3,15,0,1,3036.048,0,1,0,0
0.049058014,1,12,0,1,866.8716,0,1,0,0
0.01161096,1,15,0,1,868.869,0,1,0,0
0.183507295,1,22,0,2,1137.1864,0,1,0,0
0.102349519,1,12,0,1,928.1252,0,1,0,0
0.086708987,3,32,2,0,762.341,0,1,0,0
0.032835147,1,17,0,1,707.0796,0,1,0,0
0.033809913,3,34,1,0,7968.2944,0,0,0,1
0.07266912,3,22,0,2,1438.128,0,1,0,0
0.144338493,4,34,1,0,6976.2524,0,0,0,1
0.009163216,2,21,0,0,101.2016,1,0,0,0
0.011307038,3,10,1,0,952.094,0,0,1,0
0.076855628,2,22,0,2,1969.4364,0,1,0,0
0.059956876,3,34,1,0,5262.4832,0,0,0,1
0.038532062,1,17,0,1,1314.2892,0,1,0,0
0.043209581,1,12,0,1,535.3032,0,1,0,0
0.056816465,2,21,0,0,263.6568,1,0,0,0
0.019866705,3,15,0,1,1402.1748,0,1,0,0
0.048331717,2,12,0,1,1693.7952,0,1,0,0
0.091221855,2,17,0,1,2143.876,0,1,0,0
0.027622076,3,20,1,2,2676.516,0,1,0,0
0.0,1,15,0,1,905.488,0,1,0,0
0.039355947,4,20,1,2,7370.406,0,1,0,0
0.060836524,4,15,0,1,6301.1312,0,1,0,0
0.082316506,3,15,0,1,1597.92,0,1,0,0
0.155350299,3,15,0,1,529.311,0,1,0,0
0.076841095,2,15,0,1,1969.4364,0,1,0,0
0.151419185,1,12,0,1,1034.6532,0,1,0,0
0.026001976,3,10,1,0,1794.331,0,0,1,0
0.073209447,3,10,1,0,2768.3964,0,0,1,0
0.041683481,1,34,1,0,898.83,0,0,0,1
0.042560252,4,22,0,2,3169.208,0,1,0,0
0.014081156,4,10,1,0,3589.9936,0,0,1,0
0.0,2,10,1,0,262.3252,0,0,1,0
0.152918384,1,12,0,1,1910.1802,0,1,0,0
0.030969274,2,12,0,1,1701.7848,0,1,0,0
0.060376776,3,32,2,0,2471.4496,0,1,0,0
0.04192285,1,32,2,0,1331.6,0,1,0,0
0.077367431,1,34,1,0,1808.9786,0,0,0,1
0.045838211,4,10,1,0,3315.684,0,0,1,0
0.071077939,2,22,0,2,2618.5914,0,1,0,0
0.094659871,4,22,0,2,2769.728,0,1,0,0
0.077608838,4,12,0,1,5375.0034,0,1,0,0
0.021327477,4,12,0,1,2838.9712,0,1,0,0
0.042485444,2,10,1,0,1743.0644,0,0,1,0
0.025578526,3,34,1,0,5555.4352,0,0,0,1
0.0489808,1,10,1,0,619.194,0,0,1,0
0.019471688,3,15,0,1,2120.573,0,1,0,0
0.122918852,3,12,0,1,3823.0236,0,1,0,0
0.057373797,3,32,2,0,1360.2294,0,1,0,0
0.044155597,3,32,2,0,3969.4996,0,1,0,0
0.291865402,2,21,0,0,345.5502,1,0,0,0
0.0,3,21,0,0,585.2382,1,0,0,0
0.064750025,1,17,0,1,1010.6844,0,1,0,0
0.098312421,1,21,0,0,161.1236,1,0,0,0
0.191013663,1,34,0,2,42.6112,1,0,0,0
0.176573035,3,17,0,1,3010.7476,0,1,0,0
0.060134441,3,34,1,0,6024.1584,0,0,0,1
0.007294652,3,17,0,1,988.713,0,1,0,0
0.128478462,2,34,0,2,239.688,1,0,0,0
0.075107656,2,32,2,0,1374.2112,0,1,0,0
0.049381406,4,34,1,0,4739.8302,0,0,0,1
0.045165796,2,10,1,0,1012.016,0,0,1,0
0.09415375,3,34,0,2,657.8104,1,0,0,0
0.028907832,2,20,1,2,778.986,0,1,0,0
0.018059621,3,17,0,1,2336.958,0,1,0,0
0.090436094,1,20,1,2,2233.0932,0,1,0,0
0.146399712,2,20,1,2,1661.8368,0,1,0,0
0.074264356,4,20,1,2,4745.8224,0,1,0,0
0.050186726,3,17,0,1,3124.5994,0,1,0,0
0.020631654,1,10,1,0,467.3916,0,0,1,0
0.01561108,3,34,1,0,5070.7328,0,0,0,1
0.041395445,1,22,0,2,540.6296,0,1,0,0
0.097313129,1,22,0,2,992.7078,0,1,0,0
0.059582996,4,20,1,2,6008.845,0,1,0,0
0.098663652,1,34,1,0,2105.2596,0,0,0,1
0.101338651,4,34,1,0,5359.69,0,0,0,1
0.052146456,2,17,0,1,745.696,0,1,0,0
0.041764487,3,15,0,1,3275.736,0,1,0,0
0.054344186,2,17,0,1,1701.7848,0,1,0,0
0.078362484,3,34,1,0,6704.606,0,0,0,1
0.052339069,4,22,0,2,4119.9704,0,1,0,0
0.042464962,1,21,0,0,327.5736,1,0,0,0
0.065732883,1,20,1,2,780.9834,0,1,0,0
0.023625114,3,17,0,1,3630.6074,0,1,0,0
0.051643608,2,34,0,2,317.5866,1,0,0,0
0.165694219,1,21,0,0,231.6984,1,0,0,0
0.041878397,1,15,0,1,133.16,0,1,0,0
0.058091482,4,15,0,1,5650.6446,0,1,0,0
0.0,4,12,0,1,2636.568,0,1,0,0
0.026903714,1,17,0,1,1272.3438,0,1,0,0
0.0,3,21,0,0,324.9104,1,0,0,0
0.150554711,2,21,0,0,131.1626,1,0,0,0
0.0,2,21,0,0,260.9936,1,0,0,0
0.134975628,4,21,0,0,260.9936,1,0,0,0
0.15616879,3,32,2,0,3690.5294,0,1,0,0
0.0,1,15,0,1,1139.1838,0,1,0,0
0.133700752,1,20,1,2,1995.4026,0,1,0,0
0.115119905,1,12,0,1,1416.8224,0,1,0,0
0.110030997,1,22,0,2,265.6542,0,1,0,0
0.051038045,2,12,0,1,3552.7088,0,1,0,0
0.062837968,3,32,2,0,2406.867,0,1,0,0
0.017116983,4,34,0,2,213.056,1,0,0,0
0.024129332,2,32,2,0,2956.152,0,1,0,0
0.049754975,3,34,0,2,153.134,1,0,0,0
0.0,1,15,0,1,1649.8524,0,1,0,0
0.101561568,3,34,1,0,3101.2964,0,0,0,1
0.005949644,3,34,1,0,4769.1254,0,0,0,1
0.13956116,3,34,1,0,3435.528,0,0,0,1
0.126035694,1,17,0,1,1133.8574,0,1,0,0
0.027164679,3,15,0,1,2603.278,0,1,0,0
0.099325278,1,22,0,2,605.878,0,1,0,0
0.04357366,3,34,1,0,2293.0152,0,0,0,1
0.082741482,2,34,0,2,119.1782,1,0,0,0
0.064565202,1,32,2,0,1929.4884,0,1,0,0
0.084554569,2,34,1,0,2074.6328,0,0,0,1
0.058451805,1,34,1,0,241.6854,0,0,0,1
0.113748685,4,17,0,1,6795.1548,0,1,0,0
0.020603511,1,12,0,1,639.168,0,1,0,0
0.052044976,3,15,0,1,3248.4382,0,1,0,0
0.062764429,4,12,0,1,7222.5984,0,1,0,0
0.087977262,4,15,0,1,3225.1352,0,1,0,0
0.010010425,4,15,0,1,3755.112,0,1,0,0
0.033946163,3,32,2,0,3440.8544,0,1,0,0
0.058414678,3,15,0,1,974.7312,0,1,0,0
0.027106459,1,20,1,2,535.969,0,1,0,0
0.027022883,4,12,0,1,5259.82,0,1,0,0
0.058153409,3,34,0,2,306.268,1,0,0,0
0.128937661,2,10,1,0,1779.0176,0,0,1,0
0.088846306,1,20,1,2,759.012,0,1,0,0
0.09357779,2,32,2,0,1877.556,0,1,0,0
0.165694678,3,17,0,1,3779.0808,0,1,0,0
0.148392623,1,34,0,2,41.2796,1,0,0,0
0.098438394,1,12,0,1,259.662,0,1,0,0
0.143303291,1,32,2,0,193.082,0,1,0,0
0.076276208,2,17,0,1,1687.803,0,1,0,0
0.175103435,2,12,0,1,4655.9394,0,1,0,0
0.023511371,4,32,2,0,4950.8888,0,1,0,0
0.06105276,1,15,0,1,1418.154,0,1,0,0
0.049559042,4,12,0,1,1225.072,0,1,0,0
0.119418124,4,17,0,1,5359.69,0,1,0,0
0.072545601,3,17,0,1,1764.37,0,1,0,0
0.090486828,3,32,2,0,2553.343,0,1,0,0
0.056245075,1,32,2,0,1006.6896,0,1,0,0
0.014618973,1,32,2,0,1081.925,0,1,0,0
0.043479126,1,12,0,1,308.9312,0,1,0,0
0.045166237,3,32,2,0,2516.724,0,1,0,0
0.057827101,2,22,0,2,1428.141,0,1,0,0
0.089394766,4,32,2,0,2093.2752,0,1,0,0
0.10550944,1,32,2,0,1929.4884,0,1,0,0
0.005234153,4,15,0,1,5829.7448,0,1,0,0
0.036390174,1,22,0,2,2082.6224,0,1,0,0
0.03292824,3,34,1,0,7298.4996,0,0,0,1
0.081252534,4,32,2,0,7452.9652,0,1,0,0
0.076552407,2,12,0,1,450.0808,0,1,0,0
0.016758569,4,21,0,0,500.6816,1,0,0,0
0.044248175,2,34,1,0,3668.558,0,0,0,1
0.038288087,2,10,1,0,736.3748,0,0,1,0
0.186032678,4,15,0,1,6088.0752,0,1,0,0
0.031867464,2,34,1,0,2125.2336,0,0,0,1
0.021370201,3,12,0,1,2277.036,0,1,0,0
0.193772568,3,34,0,2,573.2538,1,0,0,0
0.009866049,3,15,0,1,2267.049,0,1,0,0
0.082551042,2,21,0,0,296.9468,1,0,0,0
0.099729888,1,10,1,0,559.272,0,0,1,0
0.018801549,4,15,0,1,5559.43,0,1,0,0
0.119721451,1,20,1,2,1237.7222,0,1,0,0
0.071222087,2,17,0,1,569.259,0,1,0,0
0.060371962,3,34,1,0,3866.9664,0,0,0,1
0.033287541,3,17,0,1,1379.5376,0,1,0,0
0.05858462,2,10,1,0,1869.5664,0,0,1,0
0.11679292,3,34,1,0,5499.508,0,0,0,1
0.031452265,1,20,1,2,925.462,0,1,0,0
0.00721395,1,15,0,1,583.2408,0,1,0,0
0.081196619,2,22,0,2,1418.154,0,1,0,0
0.049916364,1,12,0,1,942.7728,0,1,0,0
0.04627095,1,22,0,2,2364.9216,0,1,0,0
0.02747716,1,34,1,0,3251.7672,0,0,0,1
0.104704537,2,34,0,2,254.3356,1,0,0,0
0.012540003,3,15,0,1,5895.659,0,1,0,0
0.147023834,1,10,1,0,1134.5232,0,0,1,0
0.159657596,4,17,0,1,7696.648,0,1,0,0
0.141398626,4,12,0,1,2775.7202,0,1,0,0
0.148821808,4,17,0,1,5317.0788,0,1,0,0
0.0,1,10,1,0,874.8612,0,0,1,0
0.029691762,1,22,0,2,1039.9796,0,1,0,0
0.096715523,4,15,0,1,3038.0454,0,1,0,0
0.014790559,3,15,0,1,3848.324,0,1,0,0
0.054378253,1,22,0,2,527.3136,0,1,0,0
0.123428594,1,22,0,2,2390.8878,0,1,0,0
0.029943463,1,34,1,0,1677.816,0,0,0,1
0.052368061,2,32,2,0,801.6232,0,1,0,0
0.093861144,2,17,0,1,1267.0174,0,1,0,0
0.033968647,2,17,0,1,886.8456,0,1,0,0
0.173154079,4,21,0,0,452.744,1,0,0,0
0.139735226,2,17,0,1,3877.6192,0,1,0,0
0.043351896,2,34,1,0,4414.254,0,0,0,1
0.042086652,2,34,1,0,5448.9072,0,0,0,1
0.12848269,4,20,1,2,4950.8888,0,1,0,0
0.049357077,1,12,0,1,958.752,0,1,0,0
0.008326735,2,12,0,1,1956.1204,0,1,0,0
0.021362955,2,20,1,2,2404.2038,0,1,0,0
0.151420934,3,21,0,0,387.4956,1,0,0,0
0.032511818,3,32,2,0,994.7052,0,1,0,0
0.022323658,2,17,0,1,1754.383,0,1,0,0
0.019292355,2,34,1,0,3340.9844,0,0,0,1
0.048124443,4,17,0,1,3918.8988,0,1,0,0
0.09261307,1,32,2,0,306.268,0,1,0,0
0.094697274,3,34,1,0,4278.4308,0,0,0,1
0.035984104,4,17,0,1,4425.5726,0,1,0,0
0.056596985,4,34,1,0,9267.936,0,0,0,1
0.2047,1,34,0,2,229.701,1,0,0,0
0.020618324,2,34,1,0,2055.9904,0,0,0,1
0.04709821,2,22,0,2,3339.6528,0,1,0,0
0.087584126,4,17,0,1,6410.3224,0,1,0,0
0.038078899,2,12,0,1,1992.0736,0,1,0,0
0.095102092,2,12,0,1,2870.9296,0,1,0,0
0.011953902,3,34,1,0,2807.0128,0,0,0,1
0.062799379,1,32,2,0,539.298,0,1,0,0
0.031125709,3,32,2,0,4377.635,0,1,0,0
0.026005891,3,17,0,1,2716.464,0,1,0,0
0.09246392,3,34,0,2,383.5008,1,0,0,0
0.107765165,1,20,1,2,703.0848,0,1,0,0
0.010647477,1,20,1,2,1937.478,0,1,0,0
0.015749341,3,20,1,2,3307.6944,0,1,0,0
0.077628053,3,20,1,2,3142.576,0,1,0,0
0.0,3,10,1,0,2554.0088,0,0,1,0
0.056695731,2,10,1,0,1869.5664,0,0,1,0
0.063993068,4,17,0,1,5494.8474,0,1,0,0
0.069529262,4,32,2,0,6093.4016,0,1,0,0
0.034452949,3,22,0,2,2586.633,0,1,0,0
0.06670068,1,20,1,2,1255.6988,0,1,0,0
0.034699737,2,22,0,2,4093.3384,0,1,0,0
0.058346939,2,22,0,2,3163.8816,0,1,0,0
0.065203103,3,34,1,0,5033.448,0,0,0,1
0.078929571,1,22,0,2,1137.1864,0,1,0,0
0.182514881,1,34,1,0,2696.49,0,0,0,1
0.016895293,3,10,1,0,898.83,0,0,1,0
0.073379745,2,22,0,2,2756.412,0,1,0,0
0.08075758,1,17,0,1,878.856,0,1,0,0
0.112271498,1,20,1,2,659.142,0,1,0,0
0.153741385,3,34,0,2,182.4292,1,0,0,0
0.127929521,4,32,2,0,3610.6334,0,1,0,0
0.07838564,4,15,0,1,5153.292,0,1,0,0
0.078502143,2,12,0,1,2588.6304,0,1,0,0
0.047684831,4,10,1,0,1286.3256,0,0,1,0
0.123159656,2,12,0,1,1230.3984,0,1,0,0
0.0,1,34,1,0,1733.7432,0,0,0,1
0.053392944,3,34,0,2,384.8324,1,0,0,0
0.036715907,3,17,0,1,3969.4996,0,1,0,0
0.065236932,3,15,0,1,7763.228,0,1,0,0
0.041947547,1,32,2,0,809.6128,0,1,0,0
0.082888496,3,10,1,0,1253.7014,0,0,1,0
0.055390121,3,22,0,2,5715.2272,0,1,0,0
0.012194556,1,32,2,0,1464.76,0,1,0,0
0.060495243,3,32,2,0,3251.1014,0,1,0,0
0.0,4,15,0,1,4274.436,0,1,0,0
0.014753811,4,34,1,0,5375.0034,0,0,0,1
0.160707489,1,34,1,0,1318.284,0,0,0,1
0.085622362,2,10,1,0,2251.7356,0,0,1,0
0.046350909,1,12,0,1,1176.4686,0,1,0,0
0.102920886,2,22,0,2,3523.4136,0,1,0,0
0.026604781,1,15,0,1,610.5386,0,1,0,0
0.0,1,15,0,1,1237.7222,0,1,0,0
0.031860325,4,21,0,0,474.0496,1,0,0,0
0.0,1,34,1,0,717.7324,0,0,0,1
0.021250002,3,22,0,2,2580.6408,0,1,0,0
0.159936948,2,22,0,2,2552.6772,0,1,0,0
0.129503146,3,17,0,1,3914.904,0,1,0,0
0.142688846,1,22,0,2,796.9626,0,1,0,0
0.179484411,4,34,0,2,916.1408,1,0,0,0
0.089163056,3,17,0,1,3259.7568,0,1,0,0
0.105761491,1,20,1,2,1677.816,0,1,0,0
0.056960814,4,20,1,2,3707.1744,0,1,0,0
0.00704098,3,22,0,2,2954.1546,0,1,0,0
0.011026594,3,10,1,0,2652.5472,0,0,1,0
0.093203257,1,17,0,1,1037.3164,0,1,0,0
0.026916794,1,34,1,0,717.7324,0,0,0,1
0.035264298,1,17,0,1,426.112,0,1,0,0
0.015908424,4,15,0,1,6911.004,0,1,0,0
0.017719277,4,22,0,2,3811.0392,0,1,0,0
0.035334201,2,34,1,0,2277.036,0,0,0,1
0.065652494,1,34,0,2,48.6034,1,0,0,0
0.056919038,4,20,1,2,5770.4886,0,1,0,0
0.048143292,1,22,0,2,690.4346,0,1,0,0
0.022047313,2,32,2,0,1890.2062,0,1,0,0
0.090427268,2,34,1,0,3195.84,0,0,0,1
0.027779254,3,22,0,2,1504.708,0,1,0,0
0.0,4,21,0,0,711.0744,1,0,0,0
0.008033611,3,10,1,0,4311.055,0,0,1,0
0.033088472,3,22,0,2,521.3214,0,1,0,0
0.160663021,1,22,0,2,829.5868,0,1,0,0
0.178975721,3,12,0,1,1571.288,0,1,0,0
0.017627888,4,15,0,1,2403.538,0,1,0,0
0.0194158,1,34,0,2,83.8908,1,0,0,0
0.016993225,4,17,0,1,844.2344,0,1,0,0
0.027139013,2,12,0,1,2940.1728,0,1,0,0
0.03777249,1,21,0,0,291.6204,1,0,0,0
0.036746479,3,17,0,1,3259.7568,0,1,0,0
0.022460102,4,20,1,2,3415.554,0,1,0,0
0.0,4,10,1,0,5624.6784,0,0,1,0
0.05213575,3,20,1,2,6687.961,0,1,0,0
0.062508438,4,20,1,2,5642.655,0,1,0,0
0.007309544,3,10,1,0,4943.565,0,0,1,0
0.015623754,3,10,1,0,3135.2522,0,0,1,0
0.142978223,1,17,0,1,796.9626,0,1,0,0
0.017191055,1,17,0,1,848.895,0,1,0,0
0.143592939,1,34,0,2,38.6164,1,0,0,0
0.011995271,3,22,0,2,4997.4948,0,1,0,0
0.15717236,2,20,1,2,588.5672,0,1,0,0
0.061393095,1,34,0,2,372.848,1,0,0,0
0.264124669,3,34,0,2,155.1314,1,0,0,0
0.020310046,4,32,2,0,3038.7112,0,1,0,0
0.054630834,4,22,0,2,1587.2672,0,1,0,0
0.052517969,2,17,0,1,687.1056,0,1,0,0
0.047565208,4,20,1,2,1929.4884,0,1,0,0
0.060797393,4,32,2,0,3600.6464,0,1,0,0
0.041291169,3,22,0,2,2181.1608,0,1,0,0
0.022604051,3,22,0,2,3428.2042,0,1,0,0
0.056580228,2,17,0,1,623.1888,0,1,0,0
0.164196823,2,20,1,2,2133.2232,0,1,0,0
0.022976497,4,10,1,0,3401.5722,0,0,1,0
0.027310252,2,15,0,1,1289.6546,0,1,0,0
0.141975462,1,34,0,2,50.6008,1,0,0,0
0.0,1,32,2,0,790.9704,0,1,0,0
0.01619866,2,12,0,1,3147.9024,0,1,0,0
0.014205168,1,34,1,0,2486.763,0,0,0,1
0.09344495,2,15,0,1,1139.8496,0,1,0,0
0.019199733,1,22,0,2,1816.3024,0,1,0,0
0.154120252,1,10,1,0,199.74,0,0,1,0
0.089004389,3,17,0,1,978.726,0,1,0,0
0.011117041,1,32,2,0,2683.174,0,1,0,0
0.103422709,3,15,0,1,2897.5616,0,1,0,0
0.089035961,4,34,1,0,9158.079,0,0,0,1
0.102723919,1,22,0,2,1957.452,0,1,0,0
0.024733134,1,34,1,0,1296.3126,0,0,0,1
0.044871033,2,32,2,0,2528.7084,0,1,0,0
0.029760052,1,32,2,0,284.2966,0,1,0,0
0.078999287,1,12,0,1,759.012,0,1,0,0
0.020870744,2,22,0,2,1787.673,0,1,0,0
0.031599715,2,12,0,1,2431.5016,0,1,0,0
0.042413704,3,10,1,0,4466.1864,0,0,1,0
0.072284689,2,15,0,1,2048.6666,0,1,0,0
0.009984847,3,32,2,0,1940.807,0,1,0,0
0.052852621,1,12,0,1,2067.309,0,1,0,0
0.014660821,1,17,0,1,2663.2,0,1,0,0
0.076354362,3,10,1,0,1146.5076,0,0,1,0
0.076709639,4,17,0,1,3448.844,0,1,0,0
0.005677876,3,17,0,1,1665.8316,0,1,0,0
0.0,3,34,1,0,8114.7704,0,0,0,1
0.012282366,2,20,1,2,1713.7692,0,1,0,0
0.026681262,1,22,0,2,810.9444,0,1,0,0
0.127541722,1,22,0,2,1193.1136,0,1,0,0
0.119513002,1,15,0,1,856.8846,0,1,0,0
0.054463442,3,21,0,0,165.7842,1,0,0,0
0.0,3,17,0,1,1057.9562,0,1,0,0
0.015756784,3,17,0,1,2205.1296,0,1,0,0
0.010907967,3,32,2,0,2940.1728,0,1,0,0
0.07543556,4,15,0,1,3046.7008,0,1,0,0
0.0,3,22,0,2,3327.6684,0,1,0,0
0.115194717,4,21,0,0,520.6556,1,0,0,0
0.066922802,3,15,0,1,2999.429,0,1,0,0
0.064636203,1,34,1,0,2113.2492,0,0,0,1
0.103195401,2,17,0,1,942.7728,0,1,0,0
0.13121032,1,34,0,2,75.2354,1,0,0,0
0.035747522,2,22,0,2,1581.9408,0,1,0,0
0.192650072,1,34,0,2,37.9506,1,0,0,0
0.098031771,3,34,0,2,151.8024,1,0,0,0
0.030118338,4,34,1,0,3486.1288,0,0,0,1
0.016201845,3,12,0,1,4262.4516,0,1,0,0
0.05837308,4,21,0,0,731.0484,1,0,0,0
0.087652908,2,15,0,1,1398.8458,0,1,0,0
0.065999008,3,20,1,2,2336.958,0,1,0,0
0.088750333,3,32,2,0,2348.9424,0,1,0,0
0.100277876,3,34,1,0,7094.7648,0,0,0,1
0.099252438,1,15,0,1,1054.6272,0,1,0,0
0.0,2,17,0,1,1298.31,0,1,0,0
0.0,2,12,0,1,2330.3,0,1,0,0
0.026384672,4,20,1,2,4584.6988,0,1,0,0
0.228993134,4,21,0,0,527.3136,1,0,0,0
0.065431917,1,12,0,1,1869.5664,0,1,0,0
0.026749991,2,34,1,0,2876.256,0,0,0,1
